material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,r_est,loss_est_dB,sq_dB_pred,r_estimated,T_total
mp-1029584,KSi5N7,3.4174999999999995,0.0,-1.2031350066153843,2.9936993630724644,mm2,Pna2_1,Orthorhombic,0.37835054579054,2.0251072555957785,8.634881676666664,4.101059396666666,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.42 eV — transparent at 775nm | ✓ n=2.03 — ideal waveguide confinement | △ Piezo=0.38 C/m² — moderate,0.1024,0.1221,0.481,0.1024,0.566
mp-1029418,KSi2N3,3.673199999999999,0.0,-1.0853544762083338,3.392509252001216,mm2,Cmc2_1,Orthorhombic,0.209373477307895,2.1146529455208483,9.206582283333333,4.47175708,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.67 eV — transparent at 775nm | ✓ n=2.11 — ideal waveguide confinement | △ Piezo=0.21 C/m² — moderate,0.0555,0.1072,0.269,0.0555,0.5718
mp-690977,NaP3(PbO3)4,3.2891,0.0,-2.3734747190153938,6.108420081882833,6,P6_3,Hexagonal,0.23225178056936,1.958859738895735,25.969700659993865,3.837131476666667,10,✓ Noncentro (6) — χ⁽²⁾ allowed | ✓ Gap 3.29 eV — transparent at 775nm | ✓ n=1.96 — ideal waveguide confinement | △ Piezo=0.23 C/m² — moderate,0.0639,0.1349,0.303,0.0639,0.561
mp-541220,NaMg4V3O12,3.3216,0.0,-2.7118239195689653,3.2566484728063134,-42m,I-42d,Tetragonal,0.185379999999999,1.911910588041885,9.47473915,3.6554020966666654,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 3.32 eV — transparent at 775nm | ✓ n=1.91 — ideal waveguide confinement | △ Piezo=0.19 C/m² — moderate,0.0517,0.1451,0.244,0.0517,0.557
mp-15349,Li2GeO3,3.568,0.0,-2.3221209661111097,3.54850576957513,mm2,Cmc2_1,Orthorhombic,1.039842812207691,1.789470167395925,11.808834276666666,3.20220348,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.57 eV — transparent at 775nm | △ n=1.79 — weak confinement | ✓ Piezo=1.04 C/m² — strong χ⁽²⁾ proxy,0.2995,0.1769,1.224,0.2995,0.5449
mp-19926,La2Be2GeO7,4.130699999999999,0.0,-3.2724024612500013,5.460089752892118,-42m,P-42_1m,Tetragonal,0.240839999999999,1.9750175729176007,14.059723239999997,3.900694413333332,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 4.13 eV — transparent at 775nm | ✓ n=1.98 — ideal waveguide confinement | △ Piezo=0.24 C/m² — moderate,0.066,0.1316,0.313,0.066,0.5623
mp-9212,NaAlO2,3.7981,0.0,-2.9291718322198275,2.785895986156309,mm2,Pna2_1,Orthorhombic,1.198037233352953,1.620655925852246,5.913419640000001,2.62652563,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.80 eV — transparent at 775nm | △ n=1.62 — weak confinement | ✓ Piezo=1.20 C/m² — strong χ⁽²⁾ proxy,0.3626,0.2382,1.363,0.3626,0.5223
mp-557070,Ca2BiAsO6,3.2463,0.0,-2.5403907127500007,4.976389708090029,mm2,Cmc2_1,Orthorhombic,0.544607385177102,1.9391034380180232,12.713663786666608,3.760122143333317,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.25 eV — transparent at 775nm | ✓ n=1.94 — ideal waveguide confinement | △ Piezo=0.54 C/m² — moderate,0.1507,0.139,0.683,0.1507,0.5594
mp-546007,La2MoO6,3.5993,0.0601701338888904,-3.11757576,5.132616416629655,-42m,I-42m,Tetragonal,1.02136,2.034158001073991,15.965209953333336,4.1377987733333335,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 3.60 eV — transparent at 775nm | ✓ n=2.03 — ideal waveguide confinement | ✓ Piezo=1.02 C/m² — strong χ⁽²⁾ proxy,0.2759,0.1204,1.194,0.2759,0.5666
mp-1048318,Ca2FeWO6,3.2618,0.0223446715000008,-2.6501649574999995,5.473992044920185,1,R3,Trigonal,2.506841256279663,2.1368373044732025,20.61359515734788,4.566073665788303,10,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 3.26 eV — transparent at 775nm | ✓ n=2.14 — ideal waveguide confinement | ✓ Piezo=2.51 C/m² — strong χ⁽²⁾ proxy,0.6607,0.1039,2.367,0.6607,0.5731
mp-16996,Li3GaSiO5,3.6429,0.0,-2.688300979,3.144400942524832,mm2,Pna2_1,Orthorhombic,1.022052135265124,1.7021237675327845,6.603064793333334,2.89722532,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.64 eV — transparent at 775nm | △ n=1.70 — weak confinement | ✓ Piezo=1.02 C/m² — strong χ⁽²⁾ proxy,0.3018,0.2056,1.204,0.3018,0.5342
mp-1214020,Ca4YB3O10,4.4498,0.0,-3.3830468215277767,3.198351930508565,m,Cm,Monoclinic,1.038187515135226,1.7836721942853364,11.396359543333332,3.181486496666667,10,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 4.45 eV — transparent at 775nm | △ n=1.78 — weak confinement | ✓ Piezo=1.04 C/m² — strong χ⁽²⁾ proxy,0.2995,0.1787,1.222,0.2995,0.5443
