material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,nelements,nsites,elements,is_noncentro,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,photonic_binary,r_est,loss_est_dB,sq_dB_pred,r_estimated,T_total,final_composite
mp-18753,Na3Mo(OF)3,4.4633,0.0,-2.5615461554137924,3.4535094565902518,3,R3,Trigonal,4,10,"['F', 'Mo', 'Na', 'O']",True,0.567632843306305,1.5848612252602223,6.707871463384678,2.511785103333333,9,✓ Noncentro (3) — χ⁽²⁾ allowed | ✓ Gap 4.46 eV — transparent at 775nm | △ n=1.58 — weak confinement | △ Piezo=0.57 C/m² — moderate,1,0.1737,0.2547,0.714,0.1737,0.5164,0.4693
mp-39770,Zr2P3H4NO12,4.2944,0.0,-2.584751472905844,2.910967940142697,3m,R3c,Trigonal,5,44,"['H', 'N', 'O', 'P', 'Zr']",True,0.533997639437789,1.7644942230943503,13.203385636669756,3.1134398633333347,9,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 4.29 eV — transparent at 775nm | △ n=1.76 — weak confinement | △ Piezo=0.53 C/m² — moderate,1,0.1549,0.1845,0.677,0.1549,0.5421,0.468
mp-26173,LiBi3(PO5)2,3.3957,0.0127057561458361,-2.3050994289136915,6.256376564355491,1,P1,Triclinic,4,16,"['Bi', 'Li', 'O', 'P']",True,1.5168004832160409,2.0428405852309344,27.757558416666672,4.173197656666667,10,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 3.40 eV — transparent at 775nm | ✓ n=2.04 — ideal waveguide confinement | ✓ Piezo=1.52 C/m² — strong χ⁽²⁾ proxy,1,0.4089,0.1189,1.655,0.4089,0.5672,0.4679
mp-28264,RbH3O2,4.2568,0.0,-1.4535898477083329,2.935347182596302,mm2,Cmc2_1,Orthorhombic,3,12,"['H', 'O', 'Rb']",True,0.5260100000000001,1.5481688829065128,23.80543443333333,2.39682689,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.26 eV — transparent at 775nm | △ n=1.55 — weak confinement | △ Piezo=0.53 C/m² — moderate,1,0.1629,0.2732,0.664,0.1629,0.5099,0.4676
mp-676002,Ba2PrF7,6.2176,0.0446435625000054,-4.214894901666666,4.96159699188857,1,P1,Triclinic,3,10,"['Ba', 'F', 'Pr']",True,2.996870515880999,1.5608171684516203,19.73045011666667,2.436150233333334,9,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 6.22 eV — transparent at 775nm | △ n=1.56 — weak confinement | ✓ Piezo=3.00 C/m² — strong χ⁽²⁾ proxy,1,0.9242,0.2666,2.453,0.9242,0.5122,0.4672
mp-556209,RbLiMoO4,4.5427,0.0,-2.2576525572619053,3.037415090684689,m,Cc,Monoclinic,4,14,"['Li', 'Mo', 'O', 'Rb']",True,0.504164122174615,1.6012203502329092,5.906127566666669,2.5639066100000005,9,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 4.54 eV — transparent at 775nm | △ n=1.60 — weak confinement | △ Piezo=0.50 C/m² — moderate,1,0.1535,0.2469,0.641,0.1535,0.5192,0.4668
mp-865427,KSrCO3F,4.1032,0.0,-2.7811187260357144,2.9304266973185915,-6m2,P-6m2,Hexagonal,5,7,"['C', 'F', 'K', 'O', 'Sr']",True,0.500695257727321,1.519922840146828,11.49652573997807,2.31016544,9,✓ Noncentro (-6m2) — χ⁽²⁾ allowed | ✓ Gap 4.10 eV — transparent at 775nm | △ n=1.52 — weak confinement | △ Piezo=0.50 C/m² — moderate,1,0.1565,0.2887,0.633,0.1565,0.5044,0.4666
mp-27791,SrBe3O4,4.1268,0.0,-3.112535916875,3.641867284238099,-6m2,P-62c,Hexagonal,3,16,"['Be', 'O', 'Sr']",True,0.498312270516413,1.773521552354712,8.974431823333333,3.145378696666667,9,✓ Noncentro (-6m2) — χ⁽²⁾ allowed | ✓ Gap 4.13 eV — transparent at 775nm | △ n=1.77 — weak confinement | △ Piezo=0.50 C/m² — moderate,1,0.1442,0.1817,0.635,0.1442,0.5431,0.4666
mp-561681,CsSO3,5.1115,0.0,-2.072047674931036,3.5112282886170494,6mm,P6_3mc,Hexagonal,3,20,"['Cs', 'O', 'S']",True,0.496038609888386,1.5187062586293638,6.591319443333334,2.3064687000000004,9,✓ Noncentro (6mm) — χ⁽²⁾ allowed | ✓ Gap 5.11 eV — transparent at 775nm | △ n=1.52 — weak confinement | △ Piezo=0.50 C/m² — moderate,1,0.1551,0.2894,0.627,0.1551,0.5042,0.4664
mp-20282,CsPbF3,3.3374,0.0,-2.781183703931033,5.993799349372476,3m,R3c,Trigonal,3,10,"['Cs', 'F', 'Pb']",True,0.489417733046944,1.6988894225346158,21.32433411331445,2.8862252700000006,9,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.34 eV — transparent at 775nm | △ n=1.70 — weak confinement | △ Piezo=0.49 C/m² — moderate,1,0.1447,0.2068,0.626,0.1447,0.5338,0.4663
